[1122/152553.085:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.416:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.541:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.616:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.619:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.625:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.628:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.633:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152553.636:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.433:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.602:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.613:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.639:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.643:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.646:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.652:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.656:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.660:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.663:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152755.700:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
